,userId,movieId,rating,timestamp
52641,382,45,5.0,789652009
52684,382,870,3.0,789652009
52635,382,20,3.0,789652009
56910,408,29,5.0,828212412
56911,408,31,3.0,828212412
56917,408,79,5.0,828212412
56907,408,20,5.0,828212412
56906,408,15,4.0,828212412
56909,408,24,4.0,828212412
56913,408,33,4.0,828212412
56904,408,0,5.0,828212413
56948,408,367,4.0,828213114
56953,408,524,3.0,828213114
56919,408,129,4.0,828213114
56943,408,285,5.0,828213115
56939,408,275,5.0,828213115
56927,408,203,4.0,828213115
56929,408,207,4.0,828213115
56938,408,274,5.0,828213115
56949,408,380,4.0,828213115
56940,408,276,5.0,828213115
56921,408,133,4.0,828213115
56930,408,236,5.0,828213115
56918,408,100,4.0,828213115
56935,408,260,5.0,828213115
56937,408,266,5.0,828213115
56924,408,180,4.0,828213115
56952,408,523,4.0,828213115
56931,408,237,5.0,828213115
56916,408,48,4.0,828213115
56944,408,296,4.0,828213115
56922,408,144,2.0,828213115
56920,408,132,3.0,828213115
56934,408,252,5.0,828213115
56936,408,262,2.0,828213115
56954,408,576,5.0,828213115
56941,408,277,5.0,828213115
56947,408,344,3.0,828213115
56915,408,45,5.0,828213115
56926,408,196,4.0,828213115
56942,408,284,5.0,828213115
56945,408,313,5.0,828213115
56933,408,244,5.0,828213115
56932,408,240,4.0,828213115
31254,223,31,5.0,828213150
31318,223,441,4.0,828213150
31263,223,54,3.0,828213150
31265,223,79,4.0,828213150
31243,223,0,4.0,828213150
31256,223,33,4.0,828213150
31247,223,15,5.0,828213150
31322,223,535,5.0,828213150
31261,223,49,4.0,828213150
31267,223,87,3.0,828213150
31244,223,1,4.0,828213150
31251,223,27,5.0,828213150
31245,223,5,5.0,828213150
31248,223,16,5.0,828213150
31325,223,559,3.0,828213150
31250,223,24,4.0,828213150
31269,223,95,4.0,828213150
31249,223,20,4.0,828213150
31268,223,92,4.0,828213150
31258,223,41,4.0,828213150
56928,408,204,5.0,828213511
31273,223,129,5.0,828214011
31314,223,377,3.0,828214011
31309,223,309,4.0,828214011
31313,223,361,4.0,828214011
31284,223,196,5.0,828214011
31315,223,384,3.0,828214011
31276,223,133,4.0,828214011
31311,223,313,5.0,828214011
31270,223,100,5.0,828214011
31310,223,312,5.0,828214011
31255,223,32,5.0,828214011
31272,223,128,5.0,828214011
31275,223,132,4.0,828214011
31278,223,141,5.0,828214011
31277,223,137,5.0,828214011
31321,223,521,5.0,828214011
31283,223,187,5.0,828214011
31294,223,244,4.0,828214012
31281,223,154,5.0,828214012
31295,223,258,5.0,828214012
31287,223,207,5.0,828214012
31274,223,130,4.0,828214012
31289,223,219,4.0,828214012
31293,223,237,4.0,828214012
31308,223,304,4.0,828214012
31296,223,266,5.0,828214012
31282,223,170,4.0,828214012
31297,223,267,4.0,828214012
31259,223,45,4.0,828214012
31290,223,221,4.0,828214012
31317,223,416,4.0,828214012
31286,223,205,5.0,828214012
31299,223,273,4.0,828214012
31312,223,344,4.0,828214012
31302,223,276,4.0,828214012
31304,223,294,4.0,828214012
31316,223,401,4.0,828214012
31303,223,280,4.0,828214012
31279,223,144,4.0,828214012
31300,223,274,4.0,828214012
31320,223,498,4.0,828214012
31319,223,496,5.0,828214012
31298,223,270,4.0,828214012
31291,223,225,4.0,828214012
31307,223,302,4.0,828214012
31260,223,48,4.0,828214012
31280,223,152,4.0,828214012
31288,223,214,4.0,828214012
31285,223,204,4.0,828214012
31306,223,300,4.0,828214012
31327,223,592,3.0,828214012
31305,223,299,3.0,828214012
31292,223,232,4.0,828214012
31301,223,275,4.0,828214012
31253,223,29,4.0,828786667
73378,510,54,5.0,829351964
73401,510,607,5.0,829351964
73374,510,24,4.0,829351964
73372,510,15,5.0,829351964
73381,510,101,5.0,829351964
73376,510,34,5.0,829351964
73379,510,86,4.0,829351964
73382,510,113,3.0,829351964
73400,510,535,5.0,829351964
73380,510,92,5.0,829351964
73373,510,20,5.0,829351964
73371,510,10,4.0,829351964
73390,510,252,5.0,829352433
73377,510,48,5.0,829352433
73391,510,254,4.0,829352433
73399,510,523,5.0,829352433
73388,510,209,4.0,829352433
73386,510,203,3.0,829352433
